total_meters,price,floor,floors_count,rooms_count,location,district,underground
35.5,9350000,4,12,1,1,17,18
30.7,11000000,6,9,1,1,81,151
39.9,12800000,2,23,1,1,25,54
37.7,13300000,3,17,1,1,58,152
34.0,9200000,8,12,1,1,76,21
36.0,10500000,11,16,1,1,15,153
32.0,12000000,2,5,1,1,38,44
36.0,11350000,7,32,1,1,89,117
34.0,14650000,8,9,1,1,90,76
41.3,12500000,9,17,1,1,98,154
48.6,14000000,17,31,1,1,25,54
36.0,19500000,7,14,1,1,23,114
34.4,9200000,12,12,1,1,84,111
34.5,13500000,4,16,1,1,82,123
29.0,15500000,2,9,1,1,22,74
41.0,11350000,5,20,1,1,10,11
32.4,9900000,12,12,1,1,99,68
37.0,13990000,16,17,1,1,3,155
40.0,11490000,16,18,1,1,10,156
37.7,14990000,10,24,1,1,81,41
32.9,10900000,7,9,1,1,68,142
38.0,12400000,11,14,1,1,100,33
37.8,12500000,1,16,1,1,47,128
32.0,13800000,2,25,1,1,82,157
34.0,15700000,7,26,1,1,39,158
35.8,8980000,14,14,1,1,71,159
41.8,14700000,11,19,1,1,88,116
33.8,11150000,9,9,1,1,53,61
27.5,9300000,6,9,1,1,12,13
32.9,10300000,1,9,1,1,68,90
35.1,10000000,2,9,1,1,32,37
32.7,12000000,3,9,1,1,29,69
39.6,11600000,16,18,1,1,10,11
37.4,11000000,3,16,1,1,69,89
40.0,12600000,14,14,1,1,66,80
30.9,8299000,16,17,1,1,10,11
18.6,10500000,5,7,1,1,27,32
31.2,19500000,10,25,1,1,45,160
32.0,12800000,5,9,1,1,43,3
36.0,11999999,4,12,1,1,96,119
50.5,39000000,3,5,1,1,9,147
38.0,9500000,11,17,1,1,2,2
33.0,9500000,4,5,1,1,101,4
38.5,20000000,12,20,1,1,21,22
36.0,15000000,14,14,1,1,93,161
44.3,20821000,2,6,1,1,43,162
21.0,11600000,1,8,1,1,44,63
40.0,38000000,9,14,1,1,38,163
40.0,10900000,7,24,1,1,102,164
35.0,10800000,14,16,1,1,103,159
35.0,18100000,7,10,1,1,104,165
38.7,13500000,7,9,1,1,75,126
31.3,8900000,3,9,1,1,32,37
33.4,20990000,4,26,1,1,39,158
30.5,15300000,1,5,1,1,22,74
44.3,35300000,9,21,1,1,29,166
37.4,20800000,3,25,1,1,29,34
48.5,17000000,2,17,1,1,49,55
31.0,31450000,2,5,1,1,104,165
37.8,11500000,1,9,1,1,69,89
42.3,13000000,14,22,1,1,51,57
28.0,10200000,1,21,1,1,68,85
52.8,17399999,7,18,1,1,6,26
34.8,12499999,2,14,1,1,11,24
29.6,9800000,3,9,1,1,67,84
48.5,20600000,14,24,1,1,54,65
35.0,15500000,5,12,1,1,37,42
43.0,17900000,2,21,1,1,105,167
45.1,23800000,2,24,1,1,47,97
37.0,36000000,4,4,1,1,95,168
38.9,10750000,12,12,1,1,73,153
29.0,17500000,15,23,1,1,7,64
38.0,13900000,21,25,1,1,57,159
37.0,13900000,8,17,1,1,70,142
41.5,38999999,11,21,1,1,38,44
43.6,22500000,4,27,1,1,38,44
50.1,16500000,8,14,1,1,70,67
38.0,36800000,14,26,1,1,7,64
39.0,9999980,4,12,1,1,65,40
25.0,9990000,4,4,1,1,106,169
41.3,11314272,12,26,1,1,2,2
66.2,54500000,7,27,1,1,44,63
39.0,22990000,20,22,1,1,29,170
38.8,11200000,7,17,1,1,92,130
42.6,17200000,21,24,1,1,22,28
26.0,10550000,4,4,1,1,106,169
41.0,12800000,19,24,1,1,12,100
34.8,12500000,14,16,1,1,15,16
45.8,26000000,7,23,1,1,29,166
38.0,11200000,7,18,1,1,10,11
36.6,14500000,12,17,1,1,107,171
32.4,15900000,5,5,1,1,3,133
